"","x"
"1","Macruronus novaezelandiae"
"2","Clupea pallasii"
"3","Pleuronectes quadrituberculatus"
"4","Reinhardtius stomias"
"5","Atheresthes stomias"
"6","Pleurogrammus monopterygius"
"7","Paralithodes platypus"
"8","Microstomus pacificus"
"9","Sebastes variabilis"
"10","Hippoglossoides elassodon"
"11","Reinhardtius hippoglossoides"
"12","Sebastes polyspinis"
"13","Lepidopsetta polyxystra"
"14","Gadus macrocephalus"
"15","Sebastes alutus"
"16","Glyptocephalus zachirus"
"17","Sebastes aleutianus"
"18","Paralithodes camtschaticus"
"19","Anoplopoma fimbria"
"20","Chionoecetes opilio"
"21","Chionoecetes bairdi"
"22","Theragra chalcogramma"
"23","Limanda aspera"
"24","Gadus morhua"
"25","Sebastes norvegicus"
"26","Melanogrammus aeglefinus"
"27","Pollachius virens"
"28","Micropogonias undulatus"
"29","Homarus americanus"
"30","Pandalus borealis"
"31","Callinectes sapidus"
"32","Dissostichus mawsoni"
"33","Thunnus maccoyii"
"34","Engraulis encrasicolus"
"35","Sardina pilchardus"
"36","Centroberyx gerrardi"
"37","Platycephalus conatus"
"38","Rexea solandri"
"39","Nemadactylus macropterus"
"40","Genypterus blacodes"
"41","Hoplostethus atlanticus"
"42","Dissostichus eleginoides"
"43","Seriolella punctata"
"44","Sillago flindersi"
"45","Neoplatycephalus richardsoni"
"46","Seriolella brama"
"47","Sebastes pinniger"
"48","Lophius americanus"
"49","Placopecten magellanicus"
"50","Parophrys vetulus"
"51","Lepidopsetta bilineata"
"52","Mugil cephalus"
"53","Merlangius merlangus"
"54","Scomber australasicus"
"55","Scomber australacius"
"56","Dentex tumifrons"
"57","Scomber japonicus"
"58","Engraulis japonicus"
"59","Trachurus japonicus"
"60","Paralichthys olivaceus"
"61","Pagrus major"
"62","Etrumeus teres"
"63","Scomberomorus niphonius"
"64","Trachurus trecae"
"65","Trachurus trachurus"
"66","Sardinella aurita"
"67","Sardinella spp"
"68","Parapenaeus longirostris"
"69","Clupea harengus"
"70","Thunnus obesus"
"71","Kajikia audax"
"72","Xiphias gladius"
"73","Thunnus albacares"
"74","Thunnus alalunga"
"75","Thunnus thynnus"
"76","Makaira nigricans"
"77","Istiophorus albicans"
"78","Katsuwonus pelamis"
"79","Tetrapturus albidus"
"80","Nephrops norvegicus"
"81","Aristeus antennatus"
"82","Beryx splendens"
"83","Cervimunida Johni"
"84","Micromesistius poutassou"
"85","Clupea bentincki"
"86","Heterocarpus reedi"
"87","Engraulis ringens"
"88","Macruronus magellanicus"
"89","Epigonus crassicaudus"
"90","Merluccius australis"
"91","Merluccius gayi"
"92","Zearaja chilensis"
"93","Engraulis anchoita"
"94","Merluccius hubbsi"
"95","Micromesistius australis"
"96","Thunnus orientalis"
"97","Merluccius capensis"
"98","Trachurus capensis"
"99","Merluccius paradoxus"
"100","Hippoglossoides platessoides"
"101","Sebastes spp"
"102","Limanda ferruginea"
"103","Sebastes fasciatus"
"104","Hippoglossus hippoglossus"
"105","Pomatomus saltatrix"
"106","Centropristis striata"
"107","Peprilus triacanthus"
"108","Stenotomus chrysops"
"109","Squalus acanthias"
"110","Paralichthys dentatus"
"111","Spisula solidissima"
"112","Lopholatilus chamaeleonticeps"
"113","Cynoscion regalis"
"114","Urophycis tenuis"
"115","Scophthalmus aquosus"
"116","Pseudopleuronectes americanus"
"117","Glyptocephalus cynoglossus"
"118","Arripis trutta"
"119","Epigonus telescopus"
"120","Allocyttus niger"
"121","Kathetostoma giganteum"
"122","Haliotis iris"
"123","Metanephrops challengeri"
"124","Pseudocyttus maculatus"
"125","Brevoortia tyrannus"
"126","Sebastes melanostomus"
"127","Sebastes melanops"
"128","Sebastes mystinus"
"129","Scorpaenichthys marmoratus"
"130","Sebastes goodei"
"131","Sebastes crameri"
"132","Hexagrammos decagrammus"
"133","Ophiodon elongatus"
"134","Raja rhina"
"135","Sebastolobus altivelis"
"136","Merluccius productus"
"137","Sebastes diploproa"
"138","Squalus suckleyi"
"139","Sebastolobus alascanus"
"140","Sebastes entomelas"
"141","Sebastes ruberrimus"
"142","Sebastes flavidus"
"143","Mallotus villosus"
"144","Hyperoglyphe antarctica"
"145","Chrysophrys auratus"
"146","Pseudocaranx dentex"
"147","Jasus edwardsii"
"148","Sebastes rufus"
"149","Sebastes paucispinis"
"150","Sebastes levis"
"151","Sebastes elongatus"
"152","Eopsetta jordani"
"153","Mycteroperca bonaci"
"154","Farfantepenaeus aztecus"
"155","Mycteroperca microlepis"
"156","Seriola dumerili"
"157","Scomberomorus cavalla"
"158","Loligo pealeii"
"159","Farfantepenaeus duorarum"
"160","Epinephelus morio"
"161","Pagrus pagrus"
"162","Lutjanus campechanus"
"163","Epinephelus niveatus"
"164","Scomberomorus maculatus"
"165","Rhomboplites aurorubens"
"166","Litopenaeus setiferus"
"167","Epinephelus flavolimbatus"
"168","Ocyurus chrysurus"
"169","Trachurus murphyi"
"170","Sprattus sprattus"
"171","Psetta maxima"
"172","Scorpaena guttata"
"173","Sebastes carnatus"
"174","Sebastes chlorostictus"
"175","Sardinops sagax"
"176","Sebastes jordani"
"177","Platichthys stellatus"
"178","Pseudocarcinus gigas"
"179","Panopea generosa"
"180","Lepidorhombus boscii"
"181","Merluccius merluccius"
"182","Lepidorhombus whiffiagonis"
"183","Solea vulgaris"
"184","Scomber scombrus"
"185","Pleuronectes platessa"
"186","Trisopterus esmarkii"
"187","Ammodytes marinus"
"188","Hilsa kelee"
"189","Champsocephalus gunnari"
"190","Sphyraena spp"
"191","Loliginidae, Ommastrephidae"
"192","Salmo trutta"
"193","Sepia pharaonis"
"194","Prionace glauca"
"195","Drepane africana"
"196","Harpadon nehereus"
"197","Chirocentrus dorab"
"198","Eleutheronema tetradactylum"
"199","Penaeus monodon"
"200","Sardinella longiceps"
"201","Trichiurus lepturus"
"202","Lutjanus argentimaculatus"
"203","Sillaginidae"
"204","Cynoglossidae"
"205","Scylla serrata"
"206","Boops boops"
"207","Argyrosomus regius"
"208","Penaeus brevirostris"
"209","Polychaeta"
"210","Cetengraulis mysticetus"
"211","Opisthonema libertate"
"212","Polydactylus quadrifilis"
"213","Penaeus merguiensis"
"214","Lates calcarifer"
"215","Isacia conceptionis"
"216","Aulacomya ater"
"217","Cilus gilberti"
"218","Echinodermata"
"219","Concholepas concholepas"
"220","Dosidicus gigas"
"221","Squatina californica"
"222","Rhinobatos planiceps"
"223","Ethmidium maculatum"
"224","Loligo gahi"
"225","Paralonchurus peruanus"
"226","Argopecten purpuratus"
"227","Cheilodactylus variegatus"
"228","Paralabrax humeralis"
"229","Cynoscion analis"
"230","Galeoides decadactylus"
"231","Portunus pelagicus"
"232","Anodontostoma chacunda"
"233","Metapenaeus endeavouri"
"234","Perna viridis"
"235","Pellona ditchela"
"236","Megalops cyprinoides"
"237","Chanos chanos"
"238","Mene maculata"
"239","Dussumieria acuta"
"240","Crassostrea iredalei"
"241","Drepane punctata"
