"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"1",21,"Pandalus borealis","eez","North Korea",0.5
"2",59,"Pandalus borealis","eez","Belgium",0.5
"3",69,"Pandalus borealis","eez","Latvia",0.5
"4",73,"Pandalus borealis","eez","Russia",0.5
"5",141,"Pandalus borealis","eez","Faeroe Islands",0.5
"6",143,"Pandalus borealis","eez","Iceland",0.5
"7",144,"Pandalus borealis","eez","Jan Mayen",0.5
"8",145,"Pandalus borealis","eez","Greenland",0.5
"9",163,"Pandalus borealis","eez","United States",0.5
"10",175,"Pandalus borealis","eez","Denmark",0.5
"11",176,"Pandalus borealis","eez","Germany",0.5
"12",177,"Pandalus borealis","eez","Netherlands",0.5
"13",178,"Pandalus borealis","eez","Poland",0.5
"14",179,"Pandalus borealis","eez","France",0.5
"15",180,"Pandalus borealis","eez","United Kingdom",0.5
"16",181,"Pandalus borealis","eez","Ireland",0.5
"17",209,"Pandalus borealis","eez","China",0.5
"18",210,"Pandalus borealis","eez","Japan",0.5
"19",218,"Pandalus borealis","eez","Canada",0.5
"20",219,"Pandalus borealis","eez","Saint Pierre and Miquelon",0.5
"21",222,"Pandalus borealis","eez","Sweden",0.5
"22",223,"Pandalus borealis","eez","Norway",0.5
"23",261,"Pandalus borealis","fao","Atlantic, Northwest",0.5
"24",262,"Pandalus borealis","fao","Atlantic, Northeast",0.5
"25",272,"Pandalus borealis","fao","Pacific, Northwest",0.5
"26",273,"Pandalus borealis","fao","Pacific, Northeast",0.5
"27",21,"Pandalus borealis","eez","North Korea",0
"28",59,"Pandalus borealis","eez","Belgium",0
"29",69,"Pandalus borealis","eez","Latvia",0
"30",73,"Pandalus borealis","eez","Russia",0
"31",141,"Pandalus borealis","eez","Faeroe Islands",0
"32",143,"Pandalus borealis","eez","Iceland",0
"33",144,"Pandalus borealis","eez","Jan Mayen",0
"34",145,"Pandalus borealis","eez","Greenland",0
"35",163,"Pandalus borealis","eez","United States",0
"36",175,"Pandalus borealis","eez","Denmark",0
"37",176,"Pandalus borealis","eez","Germany",0
"38",177,"Pandalus borealis","eez","Netherlands",0
"39",178,"Pandalus borealis","eez","Poland",0
"40",179,"Pandalus borealis","eez","France",0
"41",180,"Pandalus borealis","eez","United Kingdom",0
"42",181,"Pandalus borealis","eez","Ireland",0
"43",209,"Pandalus borealis","eez","China",0
"44",210,"Pandalus borealis","eez","Japan",0
"45",218,"Pandalus borealis","eez","Canada",0
"46",219,"Pandalus borealis","eez","Saint Pierre and Miquelon",0
"47",222,"Pandalus borealis","eez","Sweden",0
"48",223,"Pandalus borealis","eez","Norway",0
"49",261,"Pandalus borealis","fao","Atlantic, Northwest",0
"50",262,"Pandalus borealis","fao","Atlantic, Northeast",0
"51",272,"Pandalus borealis","fao","Pacific, Northwest",0
"52",273,"Pandalus borealis","fao","Pacific, Northeast",0
"53",1,"Saurida tumbil","eez","Cocos Islands",0.5
"54",2,"Saurida tumbil","eez","Christmas Island",0.5
"55",8,"Saurida tumbil","eez","Palau",0.5
"56",9,"Saurida tumbil","eez","Micronesia",0.5
"57",13,"Saurida tumbil","eez","Northern Mariana Islands and Guam",0.5
"58",14,"Saurida tumbil","eez","Taiwan",0.5
"59",15,"Saurida tumbil","eez","Philippines",0.5
"60",16,"Saurida tumbil","eez","Australia",0.5
"61",17,"Saurida tumbil","eez","Papua New Guinea",0.5
"62",24,"Saurida tumbil","eez","Cambodia",0.5
"63",25,"Saurida tumbil","eez","Thailand",0.5
"64",26,"Saurida tumbil","eez","Andaman and Nicobar",0.5
"65",28,"Saurida tumbil","eez","Comoro Islands",0.5
"66",29,"Saurida tumbil","eez","Mayotte",0.5
"67",30,"Saurida tumbil","eez","Glorioso Islands",0.5
"68",31,"Saurida tumbil","eez","Seychelles",0.5
"69",32,"Saurida tumbil","eez","R_union",0.5
"70",33,"Saurida tumbil","eez","Juan de Nova Island",0.5
"71",34,"Saurida tumbil","eez","Bassas da India",0.5
"72",35,"Saurida tumbil","eez","Ile Europa",0.5
"73",36,"Saurida tumbil","eez","Ile Tromelin",0.5
"74",37,"Saurida tumbil","eez","Mauritius",0.5
"75",38,"Saurida tumbil","eez","British Indian Ocean Territory",0.5
"76",39,"Saurida tumbil","eez","Maldives",0.5
"77",40,"Saurida tumbil","eez","Sri Lanka",0.5
"78",41,"Saurida tumbil","eez","Mozambique",0.5
"79",42,"Saurida tumbil","eez","Madagascar",0.5
"80",43,"Saurida tumbil","eez","Kenya",0.5
"81",44,"Saurida tumbil","eez","Somalia",0.5
"82",45,"Saurida tumbil","eez","Eritrea",0.5
"83",46,"Saurida tumbil","eez","Djibouti",0.5
"84",47,"Saurida tumbil","eez","Yemen",0.5
"85",48,"Saurida tumbil","eez","Oman",0.5
"86",49,"Saurida tumbil","eez","Sudan",0.5
"87",50,"Saurida tumbil","eez","Saudi Arabia",0.5
"88",51,"Saurida tumbil","eez","Kuwait",0.5
"89",52,"Saurida tumbil","eez","Bahrain",0.5
"90",53,"Saurida tumbil","eez","Pakistan",0.5
"91",54,"Saurida tumbil","eez","United Arab Emirates",0.5
"92",102,"Saurida tumbil","eez","South Africa",0.5
"93",190,"Saurida tumbil","eez","Qatar",0.5
"94",191,"Saurida tumbil","eez","Iran",0.5
"95",202,"Saurida tumbil","eez","Tanzania",0.5
"96",203,"Saurida tumbil","eez","India",0.5
"97",204,"Saurida tumbil","eez","Bangladesh",0.5
"98",205,"Saurida tumbil","eez","Myanmar",0.5
"99",206,"Saurida tumbil","eez","Malaysia",0.5
"100",207,"Saurida tumbil","eez","Vietnam",0.5
"101",208,"Saurida tumbil","eez","Singapore",0.5
"102",209,"Saurida tumbil","eez","China",0.5
"103",210,"Saurida tumbil","eez","Japan",0.5
"104",214,"Saurida tumbil","eez","Egypt",0.5
"105",216,"Saurida tumbil","eez","Indonesia",0.5
"106",231,"Saurida tumbil","eez","East Timor",0.5
"107",237,"Saurida tumbil","eez","Oecussi Ambeno",0.5
"108",247,"Saurida tumbil","eez","Brunei",0.5
"109",269,"Saurida tumbil","fao","Indian Ocean, Western",0.5
"110",1,"Saurida tumbil","eez","Cocos Islands",0
"111",2,"Saurida tumbil","eez","Christmas Island",0
"112",8,"Saurida tumbil","eez","Palau",0
"113",9,"Saurida tumbil","eez","Micronesia",0
"114",13,"Saurida tumbil","eez","Northern Mariana Islands and Guam",0
"115",14,"Saurida tumbil","eez","Taiwan",0
"116",15,"Saurida tumbil","eez","Philippines",0
"117",16,"Saurida tumbil","eez","Australia",0
"118",17,"Saurida tumbil","eez","Papua New Guinea",0
"119",24,"Saurida tumbil","eez","Cambodia",0
"120",25,"Saurida tumbil","eez","Thailand",0
"121",26,"Saurida tumbil","eez","Andaman and Nicobar",0
"122",28,"Saurida tumbil","eez","Comoro Islands",0
"123",29,"Saurida tumbil","eez","Mayotte",0
"124",30,"Saurida tumbil","eez","Glorioso Islands",0
"125",31,"Saurida tumbil","eez","Seychelles",0
"126",32,"Saurida tumbil","eez","R_union",0
"127",33,"Saurida tumbil","eez","Juan de Nova Island",0
"128",34,"Saurida tumbil","eez","Bassas da India",0
"129",35,"Saurida tumbil","eez","Ile Europa",0
"130",36,"Saurida tumbil","eez","Ile Tromelin",0
"131",37,"Saurida tumbil","eez","Mauritius",0
"132",38,"Saurida tumbil","eez","British Indian Ocean Territory",0
"133",39,"Saurida tumbil","eez","Maldives",0
"134",40,"Saurida tumbil","eez","Sri Lanka",0
"135",41,"Saurida tumbil","eez","Mozambique",0
"136",42,"Saurida tumbil","eez","Madagascar",0
"137",43,"Saurida tumbil","eez","Kenya",0
"138",44,"Saurida tumbil","eez","Somalia",0
"139",45,"Saurida tumbil","eez","Eritrea",0
"140",46,"Saurida tumbil","eez","Djibouti",0
"141",47,"Saurida tumbil","eez","Yemen",0
"142",48,"Saurida tumbil","eez","Oman",0
"143",49,"Saurida tumbil","eez","Sudan",0
"144",50,"Saurida tumbil","eez","Saudi Arabia",0
"145",51,"Saurida tumbil","eez","Kuwait",0
"146",52,"Saurida tumbil","eez","Bahrain",0
"147",53,"Saurida tumbil","eez","Pakistan",0
"148",54,"Saurida tumbil","eez","United Arab Emirates",0
"149",102,"Saurida tumbil","eez","South Africa",0
"150",190,"Saurida tumbil","eez","Qatar",0
"151",191,"Saurida tumbil","eez","Iran",0
"152",202,"Saurida tumbil","eez","Tanzania",0
"153",203,"Saurida tumbil","eez","India",0
"154",204,"Saurida tumbil","eez","Bangladesh",0
"155",205,"Saurida tumbil","eez","Myanmar",0
"156",206,"Saurida tumbil","eez","Malaysia",0
"157",207,"Saurida tumbil","eez","Vietnam",0
"158",208,"Saurida tumbil","eez","Singapore",0
"159",209,"Saurida tumbil","eez","China",0
"160",210,"Saurida tumbil","eez","Japan",0
"161",214,"Saurida tumbil","eez","Egypt",0
"162",216,"Saurida tumbil","eez","Indonesia",0
"163",231,"Saurida tumbil","eez","East Timor",0
"164",237,"Saurida tumbil","eez","Oecussi Ambeno",0
"165",247,"Saurida tumbil","eez","Brunei",0
"166",269,"Saurida tumbil","fao","Indian Ocean, Western",0
"167",1,"Galeocerdo cuvier","eez","Cocos Islands",0.5
"168",2,"Galeocerdo cuvier","eez","Christmas Island",0.5
"169",3,"Galeocerdo cuvier","eez","Norfolk Island",0.5
"170",5,"Galeocerdo cuvier","eez","New Caledonia",0.5
"171",6,"Galeocerdo cuvier","eez","Vanuatu",0.5
"172",7,"Galeocerdo cuvier","eez","Solomon Islands",0.5
"173",8,"Galeocerdo cuvier","eez","Palau",0.5
"174",9,"Galeocerdo cuvier","eez","Micronesia",0.5
"175",10,"Galeocerdo cuvier","eez","Nauru",0.5
"176",11,"Galeocerdo cuvier","eez","Marshall Islands",0.5
"177",12,"Galeocerdo cuvier","eez","Wake Island",0.5
"178",13,"Galeocerdo cuvier","eez","Northern Mariana Islands and Guam",0.5
"179",14,"Galeocerdo cuvier","eez","Taiwan",0.5
"180",15,"Galeocerdo cuvier","eez","Philippines",0.5
"181",16,"Galeocerdo cuvier","eez","Australia",0.5
"182",17,"Galeocerdo cuvier","eez","Papua New Guinea",0.5
"183",18,"Galeocerdo cuvier","eez","Fiji",0.5
"184",19,"Galeocerdo cuvier","eez","Tuvalu",0.5
"185",20,"Galeocerdo cuvier","eez","South Korea",0.5
"186",21,"Galeocerdo cuvier","eez","North Korea",0.5
"187",24,"Galeocerdo cuvier","eez","Cambodia",0.5
"188",25,"Galeocerdo cuvier","eez","Thailand",0.5
"189",26,"Galeocerdo cuvier","eez","Andaman and Nicobar",0.5
"190",28,"Galeocerdo cuvier","eez","Comoro Islands",0.5
"191",29,"Galeocerdo cuvier","eez","Mayotte",0.5
"192",30,"Galeocerdo cuvier","eez","Glorioso Islands",0.5
"193",31,"Galeocerdo cuvier","eez","Seychelles",0.5
"194",32,"Galeocerdo cuvier","eez","R_union",0.5
"195",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0.5
"196",34,"Galeocerdo cuvier","eez","Bassas da India",0.5
"197",35,"Galeocerdo cuvier","eez","Ile Europa",0.5
"198",36,"Galeocerdo cuvier","eez","Ile Tromelin",0.5
"199",37,"Galeocerdo cuvier","eez","Mauritius",0.5
"200",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0.5
"201",39,"Galeocerdo cuvier","eez","Maldives",0.5
"202",40,"Galeocerdo cuvier","eez","Sri Lanka",0.5
"203",41,"Galeocerdo cuvier","eez","Mozambique",0.5
"204",42,"Galeocerdo cuvier","eez","Madagascar",0.5
"205",43,"Galeocerdo cuvier","eez","Kenya",0.5
"206",44,"Galeocerdo cuvier","eez","Somalia",0.5
