"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"1",73,"Pandalus borealis","eez","Russia",0.5
"2",141,"Pandalus borealis","eez","Faeroe Islands",0.5
"3",143,"Pandalus borealis","eez","Iceland",0.5
"4",144,"Pandalus borealis","eez","Jan Mayen",0.5
"5",145,"Pandalus borealis","eez","Greenland",0.5
"6",163,"Pandalus borealis","eez","United States",0.5
"7",210,"Pandalus borealis","eez","Japan",0.5
"8",218,"Pandalus borealis","eez","Canada",0.5
"9",219,"Pandalus borealis","eez","Saint Pierre and Miquelon",0.5
"10",223,"Pandalus borealis","eez","Norway",0.5
"11",261,"Pandalus borealis","fao","Atlantic, Northwest",0.5
"12",272,"Pandalus borealis","fao","Pacific, Northwest",0.5
"13",21,"Pandalus borealis","eez","North Korea",0
"14",59,"Pandalus borealis","eez","Belgium",0
"15",69,"Pandalus borealis","eez","Latvia",0
"16",73,"Pandalus borealis","eez","Russia",0
"17",141,"Pandalus borealis","eez","Faeroe Islands",0
"18",143,"Pandalus borealis","eez","Iceland",0
"19",144,"Pandalus borealis","eez","Jan Mayen",0
"20",145,"Pandalus borealis","eez","Greenland",0
"21",163,"Pandalus borealis","eez","United States",0
"22",175,"Pandalus borealis","eez","Denmark",0
"23",176,"Pandalus borealis","eez","Germany",0
"24",177,"Pandalus borealis","eez","Netherlands",0
"25",178,"Pandalus borealis","eez","Poland",0
"26",179,"Pandalus borealis","eez","France",0
"27",180,"Pandalus borealis","eez","United Kingdom",0
"28",181,"Pandalus borealis","eez","Ireland",0
"29",209,"Pandalus borealis","eez","China",0
"30",210,"Pandalus borealis","eez","Japan",0
"31",218,"Pandalus borealis","eez","Canada",0
"32",219,"Pandalus borealis","eez","Saint Pierre and Miquelon",0
"33",222,"Pandalus borealis","eez","Sweden",0
"34",223,"Pandalus borealis","eez","Norway",0
"35",261,"Pandalus borealis","fao","Atlantic, Northwest",0
"36",262,"Pandalus borealis","fao","Atlantic, Northeast",0
"37",272,"Pandalus borealis","fao","Pacific, Northwest",0
"38",273,"Pandalus borealis","fao","Pacific, Northeast",0
"39",1,"Saurida tumbil","eez","Cocos Islands",0.5
"40",2,"Saurida tumbil","eez","Christmas Island",0.5
"41",8,"Saurida tumbil","eez","Palau",0.5
"42",9,"Saurida tumbil","eez","Micronesia",0.5
"43",13,"Saurida tumbil","eez","Northern Mariana Islands and Guam",0.5
"44",14,"Saurida tumbil","eez","Taiwan",0.5
"45",15,"Saurida tumbil","eez","Philippines",0.5
"46",16,"Saurida tumbil","eez","Australia",0.5
"47",17,"Saurida tumbil","eez","Papua New Guinea",0.5
"48",24,"Saurida tumbil","eez","Cambodia",0.5
"49",25,"Saurida tumbil","eez","Thailand",0.5
"50",26,"Saurida tumbil","eez","Andaman and Nicobar",0.5
"51",28,"Saurida tumbil","eez","Comoro Islands",0.5
"52",29,"Saurida tumbil","eez","Mayotte",0.5
"53",30,"Saurida tumbil","eez","Glorioso Islands",0.5
"54",31,"Saurida tumbil","eez","Seychelles",0.5
"55",32,"Saurida tumbil","eez","R_union",0.5
"56",33,"Saurida tumbil","eez","Juan de Nova Island",0.5
"57",34,"Saurida tumbil","eez","Bassas da India",0.5
"58",35,"Saurida tumbil","eez","Ile Europa",0.5
"59",36,"Saurida tumbil","eez","Ile Tromelin",0.5
"60",37,"Saurida tumbil","eez","Mauritius",0.5
"61",38,"Saurida tumbil","eez","British Indian Ocean Territory",0.5
"62",39,"Saurida tumbil","eez","Maldives",0.5
"63",40,"Saurida tumbil","eez","Sri Lanka",0.5
"64",41,"Saurida tumbil","eez","Mozambique",0.5
"65",42,"Saurida tumbil","eez","Madagascar",0.5
"66",43,"Saurida tumbil","eez","Kenya",0.5
"67",44,"Saurida tumbil","eez","Somalia",0.5
"68",45,"Saurida tumbil","eez","Eritrea",0.5
"69",46,"Saurida tumbil","eez","Djibouti",0.5
"70",47,"Saurida tumbil","eez","Yemen",0.5
"71",48,"Saurida tumbil","eez","Oman",0.5
"72",49,"Saurida tumbil","eez","Sudan",0.5
"73",50,"Saurida tumbil","eez","Saudi Arabia",0.5
"74",51,"Saurida tumbil","eez","Kuwait",0.5
"75",53,"Saurida tumbil","eez","Pakistan",0.5
"76",54,"Saurida tumbil","eez","United Arab Emirates",0.5
"77",102,"Saurida tumbil","eez","South Africa",0.5
"78",190,"Saurida tumbil","eez","Qatar",0.5
"79",191,"Saurida tumbil","eez","Iran",0.5
"80",202,"Saurida tumbil","eez","Tanzania",0.5
"81",203,"Saurida tumbil","eez","India",0.5
"82",204,"Saurida tumbil","eez","Bangladesh",0.5
"83",205,"Saurida tumbil","eez","Myanmar",0.5
"84",206,"Saurida tumbil","eez","Malaysia",0.5
"85",207,"Saurida tumbil","eez","Vietnam",0.5
"86",208,"Saurida tumbil","eez","Singapore",0.5
"87",209,"Saurida tumbil","eez","China",0.5
"88",210,"Saurida tumbil","eez","Japan",0.5
"89",214,"Saurida tumbil","eez","Egypt",0.5
"90",216,"Saurida tumbil","eez","Indonesia",0.5
"91",231,"Saurida tumbil","eez","East Timor",0.5
"92",237,"Saurida tumbil","eez","Oecussi Ambeno",0.5
"93",247,"Saurida tumbil","eez","Brunei",0.5
"94",269,"Saurida tumbil","fao","Indian Ocean, Western",0.5
"95",1,"Saurida tumbil","eez","Cocos Islands",0
"96",2,"Saurida tumbil","eez","Christmas Island",0
"97",8,"Saurida tumbil","eez","Palau",0
"98",9,"Saurida tumbil","eez","Micronesia",0
"99",13,"Saurida tumbil","eez","Northern Mariana Islands and Guam",0
"100",14,"Saurida tumbil","eez","Taiwan",0
"101",15,"Saurida tumbil","eez","Philippines",0
"102",16,"Saurida tumbil","eez","Australia",0
"103",17,"Saurida tumbil","eez","Papua New Guinea",0
"104",24,"Saurida tumbil","eez","Cambodia",0
"105",25,"Saurida tumbil","eez","Thailand",0
"106",26,"Saurida tumbil","eez","Andaman and Nicobar",0
"107",28,"Saurida tumbil","eez","Comoro Islands",0
"108",29,"Saurida tumbil","eez","Mayotte",0
"109",30,"Saurida tumbil","eez","Glorioso Islands",0
"110",31,"Saurida tumbil","eez","Seychelles",0
"111",32,"Saurida tumbil","eez","R_union",0
"112",33,"Saurida tumbil","eez","Juan de Nova Island",0
"113",34,"Saurida tumbil","eez","Bassas da India",0
"114",35,"Saurida tumbil","eez","Ile Europa",0
"115",36,"Saurida tumbil","eez","Ile Tromelin",0
"116",37,"Saurida tumbil","eez","Mauritius",0
"117",38,"Saurida tumbil","eez","British Indian Ocean Territory",0
"118",39,"Saurida tumbil","eez","Maldives",0
"119",40,"Saurida tumbil","eez","Sri Lanka",0
"120",41,"Saurida tumbil","eez","Mozambique",0
"121",42,"Saurida tumbil","eez","Madagascar",0
"122",43,"Saurida tumbil","eez","Kenya",0
"123",44,"Saurida tumbil","eez","Somalia",0
"124",45,"Saurida tumbil","eez","Eritrea",0
"125",46,"Saurida tumbil","eez","Djibouti",0
"126",47,"Saurida tumbil","eez","Yemen",0
"127",48,"Saurida tumbil","eez","Oman",0
"128",49,"Saurida tumbil","eez","Sudan",0
"129",50,"Saurida tumbil","eez","Saudi Arabia",0
"130",51,"Saurida tumbil","eez","Kuwait",0
"131",52,"Saurida tumbil","eez","Bahrain",0
"132",53,"Saurida tumbil","eez","Pakistan",0
"133",54,"Saurida tumbil","eez","United Arab Emirates",0
"134",102,"Saurida tumbil","eez","South Africa",0
"135",190,"Saurida tumbil","eez","Qatar",0
"136",191,"Saurida tumbil","eez","Iran",0
"137",202,"Saurida tumbil","eez","Tanzania",0
"138",203,"Saurida tumbil","eez","India",0
"139",204,"Saurida tumbil","eez","Bangladesh",0
"140",205,"Saurida tumbil","eez","Myanmar",0
"141",206,"Saurida tumbil","eez","Malaysia",0
"142",207,"Saurida tumbil","eez","Vietnam",0
"143",208,"Saurida tumbil","eez","Singapore",0
"144",209,"Saurida tumbil","eez","China",0
"145",210,"Saurida tumbil","eez","Japan",0
"146",214,"Saurida tumbil","eez","Egypt",0
"147",216,"Saurida tumbil","eez","Indonesia",0
"148",231,"Saurida tumbil","eez","East Timor",0
"149",237,"Saurida tumbil","eez","Oecussi Ambeno",0
"150",247,"Saurida tumbil","eez","Brunei",0
"151",269,"Saurida tumbil","fao","Indian Ocean, Western",0
"152",1,"Galeocerdo cuvier","eez","Cocos Islands",0.5
"153",2,"Galeocerdo cuvier","eez","Christmas Island",0.5
"154",3,"Galeocerdo cuvier","eez","Norfolk Island",0.5
"155",5,"Galeocerdo cuvier","eez","New Caledonia",0.5
"156",6,"Galeocerdo cuvier","eez","Vanuatu",0.5
"157",7,"Galeocerdo cuvier","eez","Solomon Islands",0.5
"158",8,"Galeocerdo cuvier","eez","Palau",0.5
"159",9,"Galeocerdo cuvier","eez","Micronesia",0.5
"160",10,"Galeocerdo cuvier","eez","Nauru",0.5
"161",11,"Galeocerdo cuvier","eez","Marshall Islands",0.5
"162",12,"Galeocerdo cuvier","eez","Wake Island",0.5
"163",13,"Galeocerdo cuvier","eez","Northern Mariana Islands and Guam",0.5
"164",14,"Galeocerdo cuvier","eez","Taiwan",0.5
"165",15,"Galeocerdo cuvier","eez","Philippines",0.5
"166",16,"Galeocerdo cuvier","eez","Australia",0.5
"167",17,"Galeocerdo cuvier","eez","Papua New Guinea",0.5
"168",18,"Galeocerdo cuvier","eez","Fiji",0.5
"169",19,"Galeocerdo cuvier","eez","Tuvalu",0.5
"170",20,"Galeocerdo cuvier","eez","South Korea",0.5
"171",24,"Galeocerdo cuvier","eez","Cambodia",0.5
"172",25,"Galeocerdo cuvier","eez","Thailand",0.5
"173",26,"Galeocerdo cuvier","eez","Andaman and Nicobar",0.5
"174",28,"Galeocerdo cuvier","eez","Comoro Islands",0.5
"175",29,"Galeocerdo cuvier","eez","Mayotte",0.5
"176",30,"Galeocerdo cuvier","eez","Glorioso Islands",0.5
"177",31,"Galeocerdo cuvier","eez","Seychelles",0.5
"178",32,"Galeocerdo cuvier","eez","R_union",0.5
"179",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0.5
"180",34,"Galeocerdo cuvier","eez","Bassas da India",0.5
"181",35,"Galeocerdo cuvier","eez","Ile Europa",0.5
"182",36,"Galeocerdo cuvier","eez","Ile Tromelin",0.5
"183",37,"Galeocerdo cuvier","eez","Mauritius",0.5
"184",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0.5
"185",39,"Galeocerdo cuvier","eez","Maldives",0.5
"186",40,"Galeocerdo cuvier","eez","Sri Lanka",0.5
"187",41,"Galeocerdo cuvier","eez","Mozambique",0.5
"188",42,"Galeocerdo cuvier","eez","Madagascar",0.5
"189",43,"Galeocerdo cuvier","eez","Kenya",0.5
"190",44,"Galeocerdo cuvier","eez","Somalia",0.5
"191",46,"Galeocerdo cuvier","eez","Djibouti",0.5
"192",47,"Galeocerdo cuvier","eez","Yemen",0.5
"193",48,"Galeocerdo cuvier","eez","Oman",0.5
"194",53,"Galeocerdo cuvier","eez","Pakistan",0.5
"195",54,"Galeocerdo cuvier","eez","United Arab Emirates",0.5
"196",55,"Galeocerdo cuvier","eez","Azores",0.5
"197",56,"Galeocerdo cuvier","eez","Cape Verde",0.5
"198",57,"Galeocerdo cuvier","eez","Madeira",0.5
"199",58,"Galeocerdo cuvier","eez","Canary Islands",0.5
"200",62,"Galeocerdo cuvier","eez","Morocco",0.5
"201",63,"Galeocerdo cuvier","eez","Western Sahara",0.5
"202",65,"Galeocerdo cuvier","eez","Gambia",0.5
"203",66,"Galeocerdo cuvier","eez","Senegal",0.5
"204",85,"Galeocerdo cuvier","eez","Ascension",0.5
"205",86,"Galeocerdo cuvier","eez","Saint Helena",0.5
