"","ohi_rgn","species","prop","rgn_typ","rgn_nam","stockid","tsn","commonname","areaid","stocklong.x","region","inmyersdb","myersstockid","OHI_name","FAO","check","assessid","stocklong.y","tsid","tsyear","tsvalue"
"1",21,"Pandalus borealis",0.000724337748344371,"eez","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",59,"Pandalus borealis",0.000206953642384106,"eez","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",69,"Pandalus borealis",0.000724337748344371,"eez","Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",73,"Pandalus borealis",0.258174668874172,"eez","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",141,"Pandalus borealis",0.013658940397351,"eez","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",143,"Pandalus borealis",0.044908940397351,"eez","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",144,"Pandalus borealis",0.00796771523178808,"eez","Jan Mayen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",145,"Pandalus borealis",0.0860927152317881,"eez","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",163,"Pandalus borealis",0.13255380794702,"eez","United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",175,"Pandalus borealis",0.00734685430463576,"eez","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",176,"Pandalus borealis",0.00413907284768212,"eez","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",177,"Pandalus borealis",0.00424254966887417,"eez","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",178,"Pandalus borealis",0.000413907284768212,"eez","Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",179,"Pandalus borealis",0.000103476821192053,"eez","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",180,"Pandalus borealis",0.039114238410596,"eez","United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",181,"Pandalus borealis",0.00631208609271523,"eez","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",209,"Pandalus borealis",0.000620860927152318,"eez","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",210,"Pandalus borealis",0.00796771523178808,"eez","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",218,"Pandalus borealis",0.214300496688742,"eez","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",219,"Pandalus borealis",0.000310430463576159,"eez","Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",222,"Pandalus borealis",0.00269039735099338,"eez","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",223,"Pandalus borealis",0.131932947019868,"eez","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",261,"Pandalus borealis",0.00734685430463576,"fao","Atlantic, Northwest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",262,"Pandalus borealis",0.0223509933774834,"fao","Atlantic, Northeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",272,"Pandalus borealis",0.00341473509933775,"fao","Pacific, Northwest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",273,"Pandalus borealis",0.00237996688741722,"fao","Pacific, Northeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",20,"Gadus macrocephalus",0.0446308724832215,"eez","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",21,"Gadus macrocephalus",0.0134228187919463,"eez","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",73,"Gadus macrocephalus",0.36510067114094,"eez","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",163,"Gadus macrocephalus",0.361744966442953,"eez","United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",209,"Gadus macrocephalus",0.0466442953020134,"eez","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",210,"Gadus macrocephalus",0.10503355704698,"eez","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1956,1.6
"34",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1957,2.18
"35",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1958,2.87
"36",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1959,2.66
"37",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1960,2.14
"38",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1961,1.79
"39",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1962,2.02
"40",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1963,3.07
"41",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1964,5.59
"42",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1965,6.03
"43",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1966,4.84
"44",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1967,3.63
"45",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1968,2.62
"46",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1969,1.74
"47",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1970,1.32
"48",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1971,1.26
"49",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1972,3.02
"50",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1973,4.6
"51",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1974,4.85
"52",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1975,3.99
"53",218,"Gadus macrocephalus",0.0409395973154362,"eez","Canada","PCODHS",164711,"Pacific cod","Canada-DFO-HS","Pacific cod Hecate Strait","Canada West Coast",1,"PCODHS","Canada",67,"","DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait","BdivBmsytouse-dimensionless",1976,2.98
