"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"1",21,"Pandalus borealis","eez","North Korea",0.5,NA
"2",59,"Pandalus borealis","eez","Belgium",0.5,NA
"3",69,"Pandalus borealis","eez","Latvia",0.5,NA
"4",73,"Pandalus borealis","eez","Russia",0.5,NA
"5",141,"Pandalus borealis","eez","Faeroe Islands",0.5,NA
"6",143,"Pandalus borealis","eez","Iceland",0.5,NA
"7",144,"Pandalus borealis","eez","Jan Mayen",0.5,NA
"8",145,"Pandalus borealis","eez","Greenland",0.5,NA
"9",163,"Pandalus borealis","eez","United States",0.5,NA
"10",175,"Pandalus borealis","eez","Denmark",0.5,NA
"11",176,"Pandalus borealis","eez","Germany",0.5,NA
"12",177,"Pandalus borealis","eez","Netherlands",0.5,NA
"13",178,"Pandalus borealis","eez","Poland",0.5,NA
"14",179,"Pandalus borealis","eez","France",0.5,NA
"15",180,"Pandalus borealis","eez","United Kingdom",0.5,NA
"16",181,"Pandalus borealis","eez","Ireland",0.5,NA
"17",209,"Pandalus borealis","eez","China",0.5,NA
"18",210,"Pandalus borealis","eez","Japan",0.5,NA
"19",218,"Pandalus borealis","eez","Canada",0.5,NA
"20",219,"Pandalus borealis","eez","Saint Pierre and Miquelon",0.5,NA
"21",222,"Pandalus borealis","eez","Sweden",0.5,NA
"22",223,"Pandalus borealis","eez","Norway",0.5,NA
"23",261,"Pandalus borealis","fao","Atlantic, Northwest",0.5,21
"24",262,"Pandalus borealis","fao","Atlantic, Northeast",0.5,27
"25",272,"Pandalus borealis","fao","Pacific, Northwest",0.5,61
"26",273,"Pandalus borealis","fao","Pacific, Northeast",0.5,67
"27",21,"Pandalus borealis","eez","North Korea",0,NA
"28",59,"Pandalus borealis","eez","Belgium",0,NA
"29",69,"Pandalus borealis","eez","Latvia",0,NA
"30",73,"Pandalus borealis","eez","Russia",0,NA
"31",141,"Pandalus borealis","eez","Faeroe Islands",0,NA
"32",143,"Pandalus borealis","eez","Iceland",0,NA
"33",144,"Pandalus borealis","eez","Jan Mayen",0,NA
"34",145,"Pandalus borealis","eez","Greenland",0,NA
"35",163,"Pandalus borealis","eez","United States",0,NA
"36",175,"Pandalus borealis","eez","Denmark",0,NA
"37",176,"Pandalus borealis","eez","Germany",0,NA
"38",177,"Pandalus borealis","eez","Netherlands",0,NA
"39",178,"Pandalus borealis","eez","Poland",0,NA
