"","ohi_rgn","percent_saup","saup_id","saup_name","fao_rgn","prop_area"
"1",82,1,8,"Albania",37,1
"2",84,1,12,"Algeria",37,1
"3",151,1,16,"American Samoa",77,1
"4",200,1,24,"Angola",47,0.981253814
"5",200,1,24,"Angola",34,0.018746186
"6",120,1,28,"Antigua & Barbuda",31,1
"7",172,1,32,"Argentina",41,1
"8",16,1,36,"Australia",71,0.308424619
"9",16,1,36,"Australia",81,0.116650313
"10",16,1,36,"Australia",57,0.574925068
"11",4,1,37,"Macquarie Isl. (Australia)",81,1
"12",16,1,38,"Lord Howe Isl. (Australia)",81,1
"13",110,1,44,"Bahamas",31,1
"14",52,1,48,"Bahrain",51,1
"15",204,1,50,"Bangladesh",57,1
"16",124,1,52,"Barbados",31,1
"17",59,1,56,"Belgium",27,1
"18",108,1,60,"Bermuda (UK)",31,0.943778016
"19",108,1,60,"Bermuda (UK)",21,0.056221984
"20",232,1,70,"Bosnia & Herzegovina",37,1
"21",105,1,74,"Bouvet Isl. (Norway)",48,1
"22",171,1,76,"Brazil (mainland)",41,0.983235029
"23",171,1,76,"Brazil (mainland)",31,0.016764971
"24",171,1,77,"Trindade & Martim Vaz Isl. (Brazil)",41,1
"25",164,1,84,"Belize",31,1
"26",38,1,86,"Chagos Archipelago (UK)",51,1
"27",7,1,90,"Solomon Isl.",71,1
"28",117,1,92,"British Virgin Isl. (UK)",31,1
"29",247,1,96,"Brunei Darussalam",71,1
"30",71,1,100,"Bulgaria",37,1
"31",205,1,104,"Myanmar",57,1
"32",45,1,111,"Eritrea",51,1
"33",24,1,116,"Cambodia",71,1
"34",197,1,120,"Cameroon",34,1
"35",56,1,132,"Cape Verde",34,1
"36",113,1,136,"Cayman Isl. (UK)",31,1
"37",40,1,144,"Sri Lanka",57,1
"38",224,1,152,"Chile (mainland)",87,1
"39",224,1,153,"Easter Isl. (Chile)",87,1
"40",224,1,154,"Desventuradas Isl. (Chile)",87,1
"41",224,1,155,"Juan Fernandez Islands (Chile)",87,1
"42",14,1,157,"Taiwan",71,0.510099681
"43",14,1,157,"Taiwan",61,0.489900319
"44",2,1,162,"Christmas Isl. (Australia)",57,1
"45",1,1,166,"Cocos (Keeling) Isl. (Australia)",57,1
"46",28,1,174,"Comoros Isl.",51,1
"47",29,1,175,"Mayotte (France)",51,1
"48",100,1,178,"Congo, R. of",47,0.22152779
"49",100,1,178,"Congo, R. of",34,0.77847221
"50",199,1,180,"Congo (ex-Zaire)",47,0.886335771
"51",199,1,180,"Congo (ex-Zaire)",34,0.113664229
"52",153,1,184,"Cook Islands",77,1
"53",187,1,191,"Croatia",37,1
"54",112,1,192,"Cuba",31,1
"55",81,1,197,"Cyprus (North)",37,1
"56",81,1,198,"Cyprus (South)",37,1
"57",99,1,204,"Benin",34,1
"58",123,1,212,"Dominica",31,1
"59",115,1,214,"Dominican Republic",31,1
"60",137,1,218,"Ecuador (mainland)",87,1
"61",137,1,219,"Galapagos Isl. (Ecuador)",87,1
"62",134,1,222,"El Salvador",77,1
"63",104,1,226,"Equatorial Guinea",34,1
"64",70,1,233,"Estonia",27,1
"65",141,1,234,"Faeroe Isl. (Denmark)",27,1
"66",95,1,238,"Falkland Isl. (UK)",41,1
"67",89,1,239,"South Georgia & Sandwich Isl. (UK)",48,1
"68",18,1,242,"Fiji",71,1
"69",174,1,246,"Finland",27,1
"70",33,0.20107907,251,"Mozambique Channel Isl. (France)",51,1
"71",34,0.3938209,251,"Mozambique Channel Isl. (France)",51,1
"72",35,0.404710413,251,"Mozambique Channel Isl. (France)",51,1
"73",36,1,252,"Tromelin Isl. (France)",51,1
"74",169,1,254,"French Guiana",41,0.031271903
"75",169,1,254,"French Guiana",31,0.968728097
"76",147,1,258,"French Polynesia",81,0.153617153
"77",147,1,258,"French Polynesia",77,0.846382847
"78",46,1,262,"Djibouti",51,1
"79",198,1,266,"Gabon",34,1
"80",74,1,268,"Georgia",37,1
"81",65,1,270,"Gambia",34,1
"82",79,1,274,"Gaza Strip",37,1
"83",176,1,277,"Germany (North Sea)",27,1
"84",176,1,278,"Germany (Baltic Sea)",27,1
"85",106,1,288,"Ghana",34,1
"86",80,1,300,"Greece (without Crete)",37,1
"87",145,1,304,"Greenland (Denmark)",18,0.119305887
"88",145,1,304,"Greenland (Denmark)",27,0.633743487
"89",145,1,304,"Greenland (Denmark)",21,0.246950625
"90",125,1,308,"Grenada",31,1
"91",140,1,312,"Guadeloupe  (France)",31,1
"92",13,1,316,"Guam (USA)",71,1
"93",194,1,324,"Guinea",37,1
"94",167,1,328,"Guyana",31,1
"95",114,1,332,"Haiti",31,1
"96",94,1,334,"Heard & McDonald Isl. (Australia)",58,1
"97",209,1,344,"Hong Kong (China)",61,1
"98",143,1,352,"Iceland",27,1
"99",203,1,356,"India (mainland)",51,0.617446736
"100",203,1,356,"India (mainland)",57,0.382553264
"101",26,1,357,"Andaman & Nicobar Isl. (India)",57,1
"102",216,1,361,"Indonesia (Eastern)",71,0.834107202
"103",216,1,361,"Indonesia (Eastern)",57,0.165892798
"104",192,1,368,"Iraq",51,1
"105",181,1,372,"Ireland",27,1
"106",184,1,380,"Italy (mainland)",37,1
"107",195,1,384,"Côte d'Ivoire",34,1
"108",166,1,388,"Jamaica",31,1
"109",210,1,390,"Japan (main islands)",61,1
"110",210,1,393,"Japan (Daito Islands)",71,0.22226668
"111",210,1,393,"Japan (Daito Islands)",61,0.77773332
"112",159,1,396,"Johnston Atoll (USA)",77,1
"113",215,1,400,"Jordan",51,1
"114",43,1,404,"Kenya",51,1
"115",21,1,408,"Korea (North)",61,1
"116",20,1,410,"Korea (South)",61,1
"117",51,1,414,"Kuwait",51,1
"118",78,1,422,"Lebanon",37,1
"119",69,1,428,"Latvia",27,1
"120",97,1,430,"Liberia",34,1
"121",67,1,434,"Libya",37,1
"122",189,1,440,"Lithuania",27,1
"123",42,1,450,"Madagascar",51,1
"124",206,1,459,"Malaysia (Peninsula West)",71,0.10048233
"125",206,1,459,"Malaysia (Peninsula West)",57,0.89951767
"126",206,1,460,"Malaysia (Peninsula East)",71,1
"127",206,1,461,"Malaysia (Sabah)",71,1
"128",39,1,462,"Maldives",51,1
"129",206,1,463,"Malaysia (Sarawak)",71,1
"130",68,1,470,"Malta",37,1
"131",140,1,474,"Martinique (France)",31,1
"132",64,1,478,"Mauritania",34,1
"133",37,1,480,"Mauritius",51,1
"134",163,1,488,"Hawaii Northwest Islands (USA)",77,0.726042709
"135",163,1,488,"Hawaii Northwest Islands (USA)",61,0.273957291
"136",121,1,500,"Montserrat (UK)",31,1
"137",41,1,508,"Mozambique",51,1
"138",48,1,512,"Oman",51,1
"139",101,1,516,"Namibia",47,1
"140",10,1,520,"Nauru",71,1
"141",177,1,528,"Netherlands",27,1
"142",5,1,540,"New Caledonia (France)",71,0.895795496
"143",5,1,540,"New Caledonia (France)",81,0.104204504
"144",6,1,548,"Vanuatu",71,0.970033676
"145",6,1,548,"Vanuatu",81,0.029966324
"146",162,1,554,"New Zealand",81,1
"147",162,1,555,"Kermadec Isl. (New Zealand)",81,1
"148",196,1,566,"Nigeria",34,1
"149",154,1,570,"Niue (New Zealand)",77,1
"150",3,1,574,"Norfolk Isl. (Australia)",81,1
"151",223,1,578,"Norway",27,1
"152",144,1,579,"Jan Mayen Isl. (Norway)",27,1
"153",13,1,580,"Northern Marianas (USA)",71,0.68720611
"154",13,1,580,"Northern Marianas (USA)",61,0.31279389
"155",9,1,583,"Micronesia (Federated States of)",71,1
"156",11,1,584,"Marshall Isl.",71,1
"157",8,1,585,"Palau",71,1
"158",53,1,586,"Pakistan",51,1
